City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Cabo San Lucas,MX,2020-08-21 03:06:19,22.89,-109.91,78.01,94,90,3.36
101,Aklavik,CA,2020-08-21 03:05:50,68.22,-135.01,64.4,59,75,5.82
102,Dudinka,RU,2020-08-21 03:07:00,69.41,86.18,62.6,55,0,8.95
103,Tromso,NO,2020-08-21 03:07:00,69.65,18.96,42.8,93,40,4.7
104,Bengkulu,ID,2020-08-21 03:06:20,-3.8,102.27,86.34,60,39,0.83
105,Port Augusta,AU,2020-08-21 03:07:00,-32.5,137.77,57.2,71,90,16.11
106,Bambous Virieux,MU,2020-08-21 03:05:56,-20.34,57.76,66.99,77,20,5.82
107,Mitu,CO,2020-08-21 03:04:23,1.2,-70.17,74.07,95,0,2.35
108,Souillac,MU,2020-08-21 03:05:46,-20.52,57.52,66.2,77,20,5.82
109,Kodiak,US,2020-08-21 03:05:46,57.79,-152.41,75.2,38,1,13.87
110,Yar-Sale,RU,2020-08-21 03:03:16,66.83,70.83,54.7,94,100,11.77
111,Port Lincoln,AU,2020-08-21 03:05:48,-34.73,135.87,53.74,57,69,25.23
112,East London,ZA,2020-08-21 03:06:12,-33.02,27.91,59.67,72,100,10.83
113,Castro,BR,2020-08-21 03:06:01,-24.79,-50.01,48.15,95,100,7.23
114,Leninskoye,RU,2020-08-21 03:07:00,47.94,132.62,71.6,59,0,8.1
115,Palmer,US,2020-08-21 03:05:59,42.16,-72.33,60.01,87,20,3.36
116,Hasaki,JP,2020-08-21 03:07:01,35.73,140.83,98.01,63,20,9.17
117,Ust-Nera,RU,2020-08-21 03:07:01,64.57,143.2,50.54,46,4,5.66
118,Bad Windsheim,DE,2020-08-21 03:07:01,49.5,10.42,71.01,88,1,8.39
119,Khatanga,RU,2020-08-21 03:05:55,71.97,102.5,53.6,47,0,17.38
120,Gornopravdinsk,RU,2020-08-21 03:07:01,60.05,69.9,56.62,92,99,5.1
121,New Norfolk,AU,2020-08-21 03:06:29,-42.78,147.06,52.0,77,70,8.77
122,Alofi,NU,2020-08-21 03:04:00,-19.06,-169.92,82.4,74,75,8.05
123,Torbay,CA,2020-08-21 03:05:16,47.67,-52.73,62.01,82,5,17.22
124,Corralillo,CU,2020-08-21 03:07:01,22.98,-80.59,79.7,87,90,6.89
125,Chuy,UY,2020-08-21 03:06:04,-33.7,-53.46,37.27,80,0,6.49
126,Mayo,US,2020-08-21 03:05:47,38.89,-76.51,77.0,69,1,8.05
127,Kieta,PG,2020-08-21 03:07:02,-6.22,155.63,84.47,69,1,4.29
128,Zonguldak,TR,2020-08-21 03:07:02,41.25,31.83,56.79,73,1,3.96
129,Ilulissat,GL,2020-08-21 03:06:23,69.22,-51.1,42.8,70,33,3.27
130,Georgetown,MY,2020-08-21 03:05:43,5.41,100.34,87.8,79,20,4.7
131,Port Elizabeth,ZA,2020-08-21 03:06:10,-33.92,25.57,50.0,93,23,5.82
132,Egvekinot,RU,2020-08-21 03:06:24,66.32,-179.17,51.26,72,79,9.22
133,Roald,NO,2020-08-21 03:07:02,62.58,6.13,60.01,93,97,2.24
134,Cayenne,GF,2020-08-21 03:05:52,4.93,-52.33,77.0,94,43,2.24
135,Aldan,RU,2020-08-21 03:07:03,58.6,125.39,65.12,49,0,3.27
136,Tahta,EG,2020-08-21 03:07:03,26.77,31.5,78.8,34,0,3.36
137,Puerto Rico,AR,2020-08-21 03:07:03,-26.8,-55.02,36.9,82,0,1.88
138,Sitka,US,2020-08-21 03:06:14,57.05,-135.33,66.2,59,20,11.41
139,Ketchikan,US,2020-08-21 03:07:03,55.34,-131.65,62.6,72,90,28.86
140,Mananjary,MG,2020-08-21 03:07:03,-21.22,48.33,64.44,92,6,4.29
141,Tiksi,RU,2020-08-21 03:06:17,71.69,128.87,40.51,82,100,9.22
142,Kununurra,AU,2020-08-21 03:01:27,-15.77,128.73,95.0,17,0,11.41
143,Pemagatsel,BT,2020-08-21 03:07:03,27.03,91.43,71.04,78,79,2.86
144,Oussouye,SN,2020-08-21 03:07:03,12.48,-16.55,75.2,100,90,2.24
145,Keskin,TR,2020-08-21 03:07:04,39.67,33.61,55.36,87,0,3.85
146,Chengde,CN,2020-08-21 03:07:04,40.97,117.94,74.66,55,9,0.58
147,The Valley,AI,2020-08-21 03:07:04,18.22,-63.06,84.2,79,20,14.99
148,Garowe,SO,2020-08-21 03:07:04,8.41,48.48,73.9,72,0,20.0
149,Yelkhovka,RU,2020-08-21 03:07:04,53.87,50.28,48.2,81,20,8.95
150,Warwick,US,2020-08-21 03:02:24,41.7,-71.42,68.0,77,40,6.93
151,Casatenovo,IT,2020-08-21 03:07:04,45.7,9.31,73.0,82,0,2.15
152,Jumla,NP,2020-08-21 03:07:04,29.27,82.18,67.78,56,86,2.06
153,Ponta Do Sol,PT,2020-08-21 03:05:53,32.67,-17.1,75.2,83,75,4.7
154,Luderitz,NA,2020-08-21 03:05:50,-26.65,15.16,58.84,31,0,8.68
